#        TCE       KIC           Source       KIC  Prat    Dist ΔRow ΔCol   Mag2   ΔMag     Drat      Mechanism Flag  Psig  Tsig
002718672-01 002718672     002718663-02 002718663  1:1      4.8    0   -1  13.52  -2.73 1.5833E+01   Direct-PRF    0 2.747 1.983
002830919-01 002830919          6363.01 003836413  1:1   5083.6 -770    6  13.76   0.99 1.0906E+03  Col-Anomaly    2 0.867 0.952
002852528-01 002852528          6294.01 002852560  1:1     17.4    0   -4  15.31   0.40 8.0689E+02   Direct-PRF    0 0.778 0.609
002860793-01 002860793          6297.01 002860788  1:1     20.8   -5    2  14.04  -0.65 1.0908E+03   Direct-PRF    0 1.601 0.947
002987660-01 002987660          4947.01 002574543  1:6   1094.7 -116    8  13.25  -5.30 6.1042E+00   Direct-PRF    1 0.161 3.427
003003992-01 003003992          6099.01 003003991  1:1     19.8   -5   -2  13.93  -2.77 2.0422E+03   Direct-PRF    0 0.359 0.155
003097346-01 003097346     003097352-01 003097352  1:1     10.3    0    3  16.94  -5.38 2.0886E+03   Direct-PRF    0 0.311 0.320
003098184-01 003098184     003098194-01 003098194  1:1      8.8   -2    0  13.90   1.25 6.5266E+00   Direct-PRF    0 0.013 0.051
003098184-02 003098184     003098194-02 003098194  1:1      8.8   -2    0  13.90   1.25 6.1069E+00   Direct-PRF    0 0.324 0.107
003098197-01 003098197     003098194-01 003098194  1:1      5.7    0   -1  13.90   0.94 3.0102E+00   Direct-PRF    0 0.005 0.050
003098197-02 003098197     003098194-02 003098194  1:1      5.7    0   -1  13.90   0.94 3.0126E+00   Direct-PRF    0 0.289 0.082
003109937-01 003109937          1112.01 003109930  1:1      4.8    1    2  14.63   1.12 1.2881E+00   Direct-PRF    0 0.337 0.343
003110937-01 003110937          6286.01 002708156  1:1   1347.3 -339    0  10.67   4.53 1.0337E+04  Col-Anomaly    0 1.613 1.131
003114661-01 003114661          3763.01 003114667  1:1      8.4   -2    1  17.38  -1.63 7.0987E+01   Direct-PRF    0 0.708 0.297
003114661-02 003114661    003114667-sec 003114667  1:1      8.4   -2    1  17.38  -1.63 1.4825E+01   Direct-PRF    0 0.424 0.275
003117046-01 003117046          4479.01 003644602  1:1   1981.8  498    0  15.14  -0.32 2.1404E+00  Col-Anomaly    1 1.201 0.964
003120276-01 003120276          6307.01 003120320  1:1     36.5    5    8  10.88   4.33 3.8282E+02   Direct-PRF    0 0.472 0.201
003120308-01 003120308          6307.01 003120320  1:1     38.7   -7    7  10.88   3.77 6.0574E+02   Direct-PRF    0 0.050 0.172
003120397-01 003120397          6307.01 003120320  1:1     50.3   -2  -13  10.88   4.79 4.9615E+02   Direct-PRF    0 0.411 0.174
003124412-01 003124412          3918.01 003124420  1:1      5.8    1    0  18.24  -3.33 9.5365E+02   Direct-PRF    0 2.157 0.942
003221119-01 003221119    003221207-pri 003221207  2:1     82.6   15   14  11.97   1.60 2.2788E+04   Direct-PRF    0 0.836 0.607
003228740-01 003228740     V404-Lyr-pri 003228863  1:1     94.1  -18  -16  11.82   1.89 2.2668E+04   Direct-PRF    0 1.366 1.237
003228804-01 003228804     V404-Lyr-pri 003228863  1:1     61.4    4  -14  11.82   3.19 5.8581E+03   Direct-PRF    0 2.320 0.327
003228824-01 003228824     003228804-01 003228804  1:1     11.2    3    1  15.01   0.73 1.0723E+00   Direct-PRF    0 4.790 2.635
003228825-01 003228825     V404-Lyr-pri 003228863  1:1     66.0  -17    3  11.82   0.21 2.1724E+04   Direct-PRF    0 3.679 1.504
003228918-01 003228918     003228988-01 003228988  2:1     52.6   -6  -12  15.31  -0.12 2.4696E-01   Direct-PRF    1 4.670 0.718
003228918-02 003228918     V404-Lyr-pri 003228863  1:1     31.9    2    8  11.82   3.38 1.9764E+02   Direct-PRF    0 1.271 1.198
003228945-01 003228945     003228988-01 003228988  1:1     60.1  -15    1  15.31  -0.29 7.2619E-01   Direct-PRF    1 1.627 1.601
003228986-01 003228986     V404-Lyr-pri 003228863  1:1     80.4   11   17  11.82   2.37 8.1464E+03   Direct-PRF    0 3.306 0.767
003228988-01 003228988     003228945-01 003228945  1:1     60.1   15   -1  15.02   0.29 1.3770E+00   Direct-PRF    1 1.627 1.601
003229028-01 003229028     V404-Lyr-pri 003228863  1:1    182.9   46    1  11.82   1.22 2.4827E+04   Direct-PRF    0 1.301 0.703
003229073-01 003229073     V404-Lyr-pri 003228863  1:1    144.6   15   34  11.82   3.11 1.3368E+04   Direct-PRF    0 0.117 0.497
003230095-01 003230095          6311.01 003230227  1:1     83.4  -11  -18   9.00   6.13 5.0547E+02   Direct-PRF    0 0.212 0.221
003230206-01 003230206          6311.01 003230227  1:1     92.9   17  -16   9.00   6.58 2.3737E+02   Direct-PRF    0 0.289 0.135
003230227-02 003230227     003337351-01 003337351  1:1     17.8    2   -4  13.36  -4.36 5.4598E+02   Direct-PRF    0 0.757 2.679
003230753-01 003230753          6101.01 003230787  1:1     23.4   -1   -6  12.55   2.07 8.5769E+02   Direct-PRF    0 0.823 0.320
003231137-01 003231137          3643.01 003231120  1:1      8.7    1    2  16.60  -3.04 3.0502E+02   Direct-PRF    0 0.410 0.408
003231137-02 003231137     003231120-02 003231120  2:1      8.7    1    2  16.60  -3.04 1.8475E+02   Direct-PRF    0 1.260 0.150
003231410-03 003231410     003231406-01 003231406  1:1     14.2    3   -1  10.46   3.20 2.0346E+00   Direct-PRF    0 1.479 0.075
003235174-01 003235174          3511.01 003644542  3:1   1700.0  427    5   8.35   6.66 7.4940E+02  Col-Anomaly    0 2.203 1.056
003240141-01 003240141    003240159-pri 003240159  5:1     14.7   -2    3  12.26   3.13 2.3965E+00   Direct-PRF    0 0.220 0.048
003241557-01 003241557          6312.01 003241619  1:1     48.3    5   11  12.52   1.25 1.1593E+04   Direct-PRF    0 0.353 0.159
003241604-02 003241604          6312.01 003241619  1:1     34.6   -5    7  12.52   2.75 1.9322E+03   Direct-PRF    0 0.495 0.118
003241647-01 003241647          6312.01 003241619  1:2     76.6  -18    6  12.52   2.73 9.1091E+03   Direct-PRF    0 0.528 0.603
003241662-01 003241662          6312.01 003241619  1:1     56.0    7  -13  12.52   2.67 4.8582E+03   Direct-PRF    0 0.294 0.181
003245638-01 003245638          3977.01 003245661  2:1     13.2    2   -3  15.04  -1.91 2.2410E+00   Direct-PRF    0 3.971 0.656
003245638-02 003245638          3977.01 003245661  2:1     13.2    2   -3  15.04  -1.91 1.8443E+00   Direct-PRF    0 1.041 0.430
003247396-01 003247396          4035.01 003247404  1:1      6.8    2    0  18.53  -5.77 6.2863E+01   Direct-PRF    0 0.241 0.060
003248033-01 003248033          1759.01 003248019  1:1     14.3   -4    0  15.39  -3.23 1.3229E+03   Direct-PRF    0 1.344 0.142
003324986-01 003324986           807.01 003836375  1:1   3150.4 -302    1  15.97  -0.98 1.0906E+01  Col-Anomaly    3 1.314 0.346
003327992-01 003327992    003327980-pri 003327980  1:2      9.1   -2   -1  12.12   3.46 1.5594E+01   Direct-PRF    0 1.905 0.564
003327993-01 003327993    003327980-pri 003327980  1:2     70.6    8  -16  12.12   3.78 1.2051E+03   Direct-PRF    0 1.893 0.542
003328026-01 003328026    003327980-pri 003327980  1:2     38.6   -7   -7  12.12   3.03 1.2189E+03   Direct-PRF    0 1.480 0.546
003328027-01 003328027    003327980-pri 003327980  1:2     51.7   -3  -12  12.12   3.51 2.6588E+03   Direct-PRF    0 3.969 1.434
003328052-01 003328052    003327980-pri 003327980  1:2     64.2  -10  -12  12.12   3.42 1.9425E+03   Direct-PRF    0 0.453 0.450
003329643-01 003329643    003431321-pri 003431321  1:1     20.9    4   -2  11.20   3.76 1.2958E+02   Direct-PRF    0 1.549 1.963
003335813-01 003335813    003335816-pri 003335816  1:2      8.3   -2    1  12.08   1.71 2.3643E+00   Direct-PRF    0 0.615 0.097
003336476-01 003336476          6286.01 002708156  1:1   2112.0 -531    1  10.67   1.74 4.0057E+04  Col-Anomaly    0 0.721 0.452
003337351-01 003337351          6311.01 003230227  1:1     17.8   -2    4   9.00   4.36 1.1916E+00   Direct-PRF    0 0.074 0.052
003337425-01 003337425          6311.01 003230227  1:1     64.9    5   16   9.00   5.93 2.0307E+02   Direct-PRF    0 0.076 0.117
003337432-01 003337432          4980.01 003439031  1:1     82.4   19   -8  11.29   2.11 3.8478E+03   Direct-PRF    0 0.516 0.030
003337438-01 003337438          4980.01 003439031  1:1     75.1   18   -5  11.29   2.21 8.1155E+03   Direct-PRF    0 1.398 0.059
003337548-01 003337548          4980.01 003439031  1:1    164.1   41    1  11.29   4.38 5.0152E+03   Direct-PRF    0 0.719 0.400
003338674-01 003338674          3795.01 003338660  1:1      8.5    2    1  14.81  -2.10 1.6073E+02   Direct-PRF    0 0.634 0.387
003338674-02 003338674          3795.01 003338660  1:2      8.5    2    1  14.81  -2.10 6.4797E+02   Direct-PRF    0 0.864 0.102
003340312-01 003340312          3677.01 003340313  1:1     11.0   -2    1  16.25  -1.71 8.9282E+01   Direct-PRF    0 0.054 0.080
003344419-01 003344419    003344427-pri 003344427  2:1     11.4   -3    0  15.83  -0.84 8.5050E+02   Direct-PRF    0 0.185 0.187
003344419-02 003344419          3764.01 003344427  1:1     11.4   -3    0  15.83  -0.84 1.0028E+03   Direct-PRF    0 0.086 0.068
003348082-01 003348082    003348093-pri 003348093  1:2     15.2   -2    3  16.20  -1.16 8.9795E+02   Direct-PRF    0 0.683 0.473
003437739-01 003437739          6286.01 002708156  1:1   2553.8 -643    0  10.67   4.67 1.0014E+04  Col-Anomaly    0 1.954 1.464
003438975-01 003438975          4980.01 003439031  1:1     38.3   -2  -10  11.29   1.01 3.7826E+03   Direct-PRF    0 0.318 0.380
003438976-01 003438976          4980.01 003439031  1:1     83.8  -21    3  11.29   2.82 9.4968E+03   Direct-PRF    0 1.546 0.540
003439096-01 003439096          4980.01 003439031  1:1     45.4    6    9  11.29   2.51 2.1154E+03   Direct-PRF    0 1.911 0.489
003439126-03 003439126          4980.01 003439031  1:1     79.1    1   20  11.29   3.82 2.2657E+03   Direct-PRF    0 4.360 2.384
003446451-01 003446451          3736.01 003547315  2:1     10.6    3    1  16.64  -4.33 7.1637E+02   Direct-PRF    0 1.656 0.271
003446451-02 003446451          3736.01 003547315  2:1     10.6    3    1  16.64  -4.33 1.2690E+03   Direct-PRF    0 2.519 0.575
003448132-01 003448132    003448245-pri 003448245  1:1     86.5   11   20  11.86   2.38 1.1811E+04   Direct-PRF    0 4.455 1.105
003448230-01 003448230    003448245-pri 003448245  2:1     72.5  -13   13  11.86   1.99 1.6535E+04   Direct-PRF    0 1.672 0.228
003448323-01 003448323    003448245-pri 003448245  1:1     73.0  -16   -7  11.86   3.77 4.0827E+03   Direct-PRF    0 1.700 0.641
003542542-01 003542542     003542574-01 003542574  1:1     33.2    0   -8  19.03  -3.24 2.5485E+03   Direct-PRF    0 2.061 0.984
003542573-01 003542573     003542574-01 003542574  1:1     10.0    2   -1  19.03  -6.87 3.1958E+00   Direct-PRF    1 0.288 0.587
003542574-01 003542574          6338.01 003542573  1:1     10.0   -2    1  12.16   6.87 3.1695E-01   Direct-PRF    0 0.301 0.593
003542588-01 003542588     003542574-01 003542574  1:1     17.4   -3    4  19.03  -5.43 3.1514E+03   Direct-PRF    0 1.201 0.094
003544689-01 003544689          3629.01 003544694  1:1      9.8    2    2  15.93  -0.98 8.1108E+01   Direct-PRF    0 0.110 0.042
003549993-01 003549993    003549994-pri 003549994  2:1      8.6    2   -1  16.10  -1.36 1.9895E+02   Direct-PRF    0 0.040 0.020
003556220-01 003556220          3899.01 003556229  1:1     10.1   -2   -2  17.66  -4.28 5.3867E+03   Direct-PRF    0 3.193 0.910
003557293-01 003557293    003557421-pri 003557421  2:1     85.4   16  -15  10.03   4.41 2.3056E+03   Direct-PRF    0 0.404 0.671
003557293-02 003557293    003557421-pri 003557421  2:1     85.4   16  -15  10.03   4.41 3.1439E+03   Direct-PRF    0 1.199 0.414
003557341-01 003557341     003557293-02 003557293  1:1     87.8  -22   -2  14.44   1.42 3.9286E-01   Direct-PRF    1 3.260 1.320
003558803-01 003558803    003558822-pri 003558822  1:1     22.7    6    0  12.25   0.07 1.3341E+03   Direct-PRF    0 1.895 0.001
003644071-01 003644071          3511.01 003644542  3:1    447.0   -6   -1   8.35   5.86 5.2689E+01   Direct-PRF    0 1.010 0.121
003644071-02 003644071    003644542-sec 003644542  3:1    447.0   -6   -1   8.35   5.86 5.8303E+01   Direct-PRF    0 0.014 0.098
