002453212-pri 002453212    0.43671600 55002.014475  0.2562 0.062300
002453212-sec 002453212    0.43671600 55002.233881  0.2307 0.059800
002556127-pri 002556127    0.41887130 54953.710274  0.1222 0.008500
002556127-sec 002556127    0.41887130 54953.919458  0.1214 0.005800
002557430-pri 002557430    1.29773640 54954.461036  0.0790 0.040300
002557430-sec 002557430    1.29773640 54955.110553  0.0743 0.030600
002558370-pri 002558370    0.54624810 55000.092666  0.1324 0.117800
002569494-pri 002569494    1.52332350 55000.349187  0.1160 0.155700
002570289-pri 002570289    0.27902780 54964.579321  0.2050 0.094700
002570289-sec 002570289    0.27902780 54964.717300  0.1694 0.083000
002571439-pri 002571439    0.32097910 54964.701572  0.2566 0.052400
002571439-sec 002571439    0.32097910 54964.865464  0.2463 0.044200
002576107-pri 002576107  205.58301700 54862.171422  0.0011 0.019800
002576692-pri 002576692   87.87853290 55027.106692  0.0049 0.318900
002576692-sec 002576692   87.87853290 55063.040224  0.0068 0.258800
002577756-pri 002577756    0.87033350 54964.662821  0.1367 0.101300
002580872-pri 002580872   15.92662760 54978.551299  0.0157 0.255500
002580872-sec 002580872   15.92662760 54985.971515  0.0224 0.167000
002693092-pri 002693092   39.84152370 54961.298937  0.0077 0.136900
002693092-sec 002693092   39.84152370 54974.992469  0.0071 0.004600
002694741-pri 002694741    0.32664740 54953.773721  0.2482 0.140200
002694741-sec 002694741    0.32664740 54953.934301  0.2301 0.114400
002695740-pri 002695740    3.61587510 54956.418200  0.0876 0.149400
002695740-sec 002695740    3.61587510 54958.175515  0.0894 0.141100
002696703-pri 002696703    6.09409400 54997.116516  0.0083 0.004000
002697935-pri 002697935   21.51335950 55008.469440  0.0044 0.002400
002708156-pri 002708156    1.89127210 54954.335595  0.1266 0.621200
002708156-sec 002708156    1.89127210 54955.281231  0.1318 0.062500
002708614-pri 002708614   52.88589040 55032.893022  0.0055 0.011600
002708614-sec 002708614   52.88589040 55040.857637  0.0023 0.008000
002711114-pri 002711114    2.85888040 54967.174931  0.0330 0.003300
002711114-sec 002711114    2.85888040 54968.604085  0.0306 0.002200
002715007-pri 002715007    0.29711050 54964.782119  0.1983 0.038900
002715007-sec 002715007    0.29711050 54964.933675  0.1964 0.033400
002715417-pri 002715417    0.23643990 54964.666158  0.1445 0.100500
002715417-sec 002715417    0.23643990 54964.784473  0.1210 0.088600
002717141-pri 002717141    0.39457150 54953.756174  0.1537 0.434000
002717141-sec 002717141    0.39457150 54953.953105  0.1173 0.422500
002719436-pri 002719436    0.74347970 54999.715360  0.1821 0.198200
002719436-sec 002719436    0.74347970 55000.088215  0.1839 0.128400
002719873-pri 002719873   17.27929020 54968.273349  0.0106 0.164200
002719873-sec 002719873   17.27929020 54976.893987  0.0143 0.008500
002720354-pri 002720354    2.82132810 54956.215382  0.0689 0.073500
002720354-sec 002720354    2.82132810 54957.626892  0.0393 0.009500
002831632-pri 002831632    2.57317200 54954.729960  0.2342 0.009200
002831632-sec 002831632    2.57317200 54956.053857  0.2722 0.007800
002835289-pri 002835289    0.85776190 55000.442959  0.2371 0.022600
002835289-sec 002835289    0.85776190 55000.878445  0.2726 0.018300
002851100-pri 002851100    0.89010840 54965.364973  0.0522 0.000700
002851474-pri 002851474    2.76829270 54965.526650  0.2338 0.004700
002851474-sec 002851474    2.76829270 54966.934050  0.2679 0.004400
002852560-pri 002852560   11.96130820 54964.912445  0.0135 0.286800
002852560-sec 002852560   11.96130820 54973.456407  0.0224 0.189000
002854432-pri 002854432    0.32232560 54964.880329  0.1938 0.142900
002854432-sec 002854432    0.32232560 54965.043297  0.2000 0.132200
002854752-pri 002854752    0.47043290 54964.893006  0.1619 0.181000
002854752-sec 002854752    0.47043290 54965.132645  0.1766 0.113800
002854948-pri 002854948    0.97430440 55002.410212  0.0709 0.033200
002856960-pri 002856960    0.25850730 54964.658506  0.1357 0.008800
002856960-sec 002856960    0.25850730 54964.788845  0.1284 0.009800
002856960-pri 002856960  204.25587940 54997.652563  0.0069 0.018800
002858322-pri 002858322    0.43639990 54964.659801  0.1628 0.126500
002858322-sec 002858322    0.43639990 54964.882365  0.1111 0.073100
002860594-pri 002860594    5.49994460 54960.317741  0.0784 0.057100
002860594-sec 002860594    5.49994460 54963.072113  0.0744 0.017800
002860788-pri 002860788    5.25974220 54965.066911  0.0423 0.099800
002860788-sec 002860788    5.25974220 54967.695204  0.0427 0.091500
002970804-pri 002970804    0.68699230 54964.658323  0.1486 0.007100
002972514-pri 002972514    0.50348530 54999.881938  0.1315 0.470800
002972514-sec 002972514    0.50348530 55000.134939  0.1441 0.411800
002973509-pri 002973509    6.62761140 54958.918282  0.0321 0.215000
002973509-sec 002973509    6.62761140 54961.796654  0.0408 0.135700
002983113-pri 002983113    0.39516010 55001.969640  0.1815 0.181300
002983113-sec 002983113    0.39516010 55002.169156  0.2109 0.164100
002987433-pri 002987433  420.93000000 55029.680109  0.0020 0.065200
002988984-pri 002988984    0.71301960 54999.991556  0.1275 0.201800
002988984-sec 002988984    0.71301960 55000.348708  0.1621 0.193900
002996347-pri 002996347    0.30101090 55002.146322  0.1839 0.096900
002996347-sec 002996347    0.30101090 55002.298995  0.1732 0.100200
002997455-pri 002997455    1.12985000 54964.788647  0.0676 0.004500
002998124-pri 002998124   28.59788440 54957.385528  0.0108 0.089400
002998124-sec 002998124   28.59788440 54970.880870  0.0131 0.002700
003003991-pri 003003991    7.24477880 54964.859085  0.0178 0.093700
003003991-sec 003003991    7.24477880 54968.476403  0.0186 0.004800
003097352-pri 003097352    4.02984000 54999.654921  0.0408 0.118600
003098194-pri 003098194   30.47653090 54969.971978  0.0133 0.240100
003098194-sec 003098194   30.47653090 54989.248384  0.0216 0.248600
003102000-pri 003102000   57.06000950 54997.255620  0.0054 0.068700
003102000-sec 003102000   57.06000950 55001.763361  0.0066 0.003400
003102024-pri 003102024   13.78252150 54958.697369  0.0202 0.219000
003102024-sec 003102024   13.78252150 54968.325839  0.0075 0.154200
003104113-pri 003104113    0.84678600 54965.284916  0.1610 0.366200
003104113-sec 003104113    0.84678600 54965.708902  0.1943 0.333300
003113266-pri 003113266    0.99586130 54964.847534  0.0444 0.004500
003113266-sec 003113266    0.99586130 54965.344568  0.0445 0.005000
003114667-pri 003114667    0.88858310 54999.753222  0.0796 0.375800
003114667-sec 003114667    0.88858310 55000.197425  0.0759 0.315600
003115480-pri 003115480    3.69370250 54968.194275  0.0346 0.023500
003115480-sec 003115480    3.69370250 54970.043712  0.0351 0.012400
003119295-pri 003119295    0.43969810 55000.054095  0.1267 0.345600
003119295-sec 003119295    0.43969810 55000.273460  0.1238 0.279800
003120320-pri 003120320   10.26561340 54959.222315  0.0197 0.143100
003120320-sec 003120320   10.26561340 54964.591231  0.0210 0.012700
003122985-pri 003122985    0.99348850 54965.600017  0.0747 0.023500
003124420-pri 003124420    0.94895080 55000.571511  0.1328 0.247600
003124420-sec 003124420    0.94895080 55001.050352  0.1300 0.106500
003127817-pri 003127817    4.32713940 54955.117734  0.0645 0.057900
003127817-sec 003127817    4.32713940 54957.288660  0.0583 0.051200
003127873-pri 003127873    0.67152560 54964.982325  0.1442 0.203300
003127873-sec 003127873    0.67152560 54965.319229  0.1666 0.168500
003128793-pri 003128793   24.67938130 54970.770924  0.0285 0.008000
003218683-pri 003218683    0.77166950 54965.118326  0.1321 0.333600
003218683-sec 003218683    0.77166950 54965.502849  0.1333 0.278700
003221207-pri 003221207    0.47383030 54953.960358  0.1381 0.364600
003221207-sec 003221207    0.47383030 54954.197889  0.1582 0.332600
003222471-pri 003222471  618.42000000 55369.551410  0.0008 0.024600
003222471-sec 003222471  618.42000000 55506.036704  0.0012 0.008600
003228824-pri 003228824    0.73094230 54970.345617  0.1614 0.000500
003228863-pri 003228863    0.73094400 54954.262345  0.1587 0.482100
003228863-sec 003228863    0.73094400 54954.628036  0.1203 0.280100
003230227-pri 003230227    7.04710620 54958.702238  0.0148 0.065800
003230578-pri 003230578    6.33761010 54958.828915  0.0109 0.002500
003230578-sec 003230578    6.33761010 54962.104192  0.0988 0.000900
003230787-pri 003230787   17.73405230 54959.183688  0.0134 0.182400
003231120-pri 003231120    3.90009000 55001.478119  0.0350 0.115900
003232823-pri 003232823    0.42390690 54964.862867  0.2541 0.028300
003232823-sec 003232823    0.42390690 54965.076643  0.2380 0.025300
003240159-pri 003240159   82.13765490 55029.121410  0.0021 0.208700
003240706-pri 003240706    5.48986510 54970.003288  0.0213 0.000600
003240976-pri 003240976   15.23886910 55002.377433  0.1166 0.000600
003241344-pri 003241344    3.91267830 54966.428168  0.0333 0.279300
003241344-sec 003241344    3.91267830 54968.380203  0.0475 0.015600
003241619-pri 003241619    1.70334440 54955.247951  0.0645 0.474200
003241619-sec 003241619    1.70334440 54956.100816  0.0612 0.162500
003245776-pri 003245776    1.49205890 55001.643004  0.2593 0.015400
003245776-sec 003245776    1.49205890 55002.395897  0.2703 0.015200
003247294-pri 003247294   67.41882760 54966.433454  0.0040 0.172200
003247294-sec 003247294   67.41882760 55017.462765  0.0086 0.103200
003248019-pri 003248019    2.66822170 55098.773000  0.0417 0.047500
003248019-sec 003248019    2.66822170 55100.107111  0.0417 0.046200
